"","dt","temp","co2","n2o","ch4","sf6"
"1",1997-07-01,-9.40891666666667,360.6,312.92,1806.6,4.2
"2",1997-08-01,-10.594,355.27,312.81,1810.2,4.19
"3",1997-09-01,-11.1419583333333,356.08,312.88,1824.19,4.19
"4",1997-10-01,-10.7974583333333,360.9,313.08,1836.63,4.22
"5",1997-11-01,-9.85254166666667,364.57,313.39,1839.96,4.27
"6",1997-12-01,-8.353375,367.38,313.64,1850.59,4.3
"7",1998-01-01,-6.88591666666667,369.41,313.76,1862.58,4.32
"8",1998-02-01,-5.96595833333333,370.35,313.77,1866.37,4.32
"9",1998-03-01,-5.41295833333333,370.41,313.81,1858.04,4.32
"10",1998-04-01,-5.291375,370.56,313.99,1845.2,4.34
"11",1998-05-01,-5.280375,371.29,314.07,1840.12,4.37
"12",1998-06-01,-5.16583333333333,369.54,313.9,1827.5,4.38
"13",1998-07-01,-5.10404166666667,363.33,313.68,1817.96,4.38
"14",1998-08-01,-4.990125,358.34,313.56,1826.04,4.39
"15",1998-09-01,-4.82608333333333,359.79,313.41,1841.99,4.41
"16",1998-10-01,-4.82025,364.17,313.39,1857.74,4.43
"17",1998-11-01,-4.65804166666666,368.67,313.82,1865.48,4.47
"18",1998-12-01,-4.33779166666667,371.62,314.31,1873.66,4.5
"19",1999-01-01,-4.09183333333333,372.91,314.41,1882.65,4.51
"20",1999-02-01,-3.82633333333333,373.65,314.39,1881.82,4.51
"21",1999-03-01,-3.70525,374.03,314.51,1872.22,4.52
"22",1999-04-01,-3.83120833333333,374.36,314.65,1865.94,4.53
"23",1999-05-01,-3.95541666666667,374.49,314.61,1853.19,4.52
"24",1999-06-01,-3.89754166666667,371.53,314.41,1835.39,4.52
"25",1999-07-01,-3.71970833333333,364.88,314.19,1828.54,4.54
"26",1999-08-01,-3.74704166666667,359.34,314.2,1825.42,4.54
"27",1999-09-01,-4.03475,360.33,314.44,1835.01,4.55
"28",1999-10-01,-4.313,364.48,314.78,1847.14,4.59
"29",1999-11-01,-4.67795833333333,369.29,315.15,1854.98,4.63
"30",1999-12-01,-5.127625,372.5,315.51,1864.96,4.66
"31",2000-01-01,-5.39058333333333,373.57,315.69,1868.06,4.68
"32",2000-02-01,-5.5335,374.46,315.77,1869.08,4.68
"33",2000-03-01,-5.61383333333333,375.08,315.86,1868.01,4.69
"34",2000-04-01,-5.20025,375.4,315.92,1863.02,4.71
"35",2000-05-01,-4.14620833333333,375.79,315.98,1852.24,4.74
"36",2000-06-01,-2.78554166666667,373.29,316.01,1836.06,4.77
"37",2000-07-01,-1.407,366.55,315.93,1825.37,4.78
"38",2000-08-01,-0.134583333333333,361.21,315.8,1829.37,4.77
"39",2000-09-01,0.471458333333333,361.89,315.84,1842.88,4.77
"40",2000-10-01,0.420708333333333,366.66,316.08,1850.63,4.79
"41",2000-11-01,-0.21225,370.79,316.37,1853.09,4.82
"42",2000-12-01,-1.610875,373.27,316.57,1859.9,4.84
"43",2001-01-01,-3.25666666666667,375.29,316.73,1867.92,4.85
"44",2001-02-01,-4.56741666666667,376.13,316.88,1869.17,4.87
"45",2001-03-01,-5.11370833333333,376.32,316.96,1866.74,4.89
"46",2001-04-01,-5.22204166666667,377.13,317.03,1865.62,4.92
"47",2001-05-01,-5.59125,377.55,316.99,1854.25,4.94
"48",2001-06-01,-6.42845833333333,374.53,316.72,1836.06,4.97
"49",2001-07-01,-7.444,367.18,316.47,1825.79,4.97
"50",2001-08-01,-8.26591666666667,361.88,316.35,1828.06,4.95
"51",2001-09-01,-8.74079166666667,362.93,316.42,1834.89,4.94
"52",2001-10-01,-9.13304166666667,368.27,316.63,1850.62,4.98
"53",2001-11-01,-9.38675,372.95,316.86,1860.89,5.02
"54",2001-12-01,-9.096375,375.27,317.05,1863.16,5.04
"55",2002-01-01,-8.37383333333334,376.97,317.28,1873.04,5.06
"56",2002-02-01,-7.64608333333334,377.93,317.47,1873.97,5.09
"57",2002-03-01,-7.22004166666667,378.44,317.49,1867.94,5.1
"58",2002-04-01,-7.04316666666667,378.67,317.47,1860.05,5.1
"59",2002-05-01,-6.98845833333333,378.43,317.45,1847.67,5.11
"60",2002-06-01,-6.93466666666667,376.29,317.28,1833.3,5.12
"61",2002-07-01,-6.88233333333333,370.26,316.98,1822.45,5.13
"62",2002-08-01,-6.96325,364.51,316.77,1828.92,5.13
"63",2002-09-01,-7.02366666666667,365.38,316.91,1847.35,5.16
"64",2002-10-01,-6.864375,370.63,317.14,1857.1,5.19
"65",2002-11-01,-6.71354166666667,374.29,317.27,1858.92,5.22
"66",2002-12-01,-6.53691666666667,376.5,317.43,1859.02,5.25
"67",2003-01-01,-6.228,379.13,317.74,1874.05,5.28
"68",2003-02-01,-6.03225,381.09,318.03,1892.61,5.3
"69",2003-03-01,-5.94858333333333,381.43,318.16,1886.82,5.31
"70",2003-04-01,-6.01216666666667,381.45,318.24,1870.16,5.36
"71",2003-05-01,-6.02220833333333,382.02,318.24,1858.83,5.41
"72",2003-06-01,-5.905875,379.64,318.12,1844.27,5.42
"73",2003-07-01,-5.650375,372.58,317.98,1835.55,5.43
"74",2003-08-01,-5.215375,367.8,317.88,1840.16,5.44
"75",2003-09-01,-4.9065,368.57,317.88,1855.85,5.45
"76",2003-10-01,-4.73475,373.03,317.92,1868.46,5.45
"77",2003-11-01,-4.57279166666667,377.33,318.02,1868.98,5.48
